品牌车型,,,,,,,,购买年份,里程,销售方式,特点,原价/万,是否有补贴,现价/万
大众, 速腾, 2014款, 改款, 1.6L, 手动舒适型,,,2014, 9.5万公里, 到店服务,准新车严选车,11.2,0,6.36
奥迪A6L, 2014款, TFSI, 标准型,,,,,2016, 4.8万公里, 到店服务,超值严选车,16.6,0,25.8
荣威350, 2013款, 350S, 1.5L, 手动迅驰版,,,,2013, 11.6万公里, 到店服务,严选车,8.5,0,2.66
丰田, 汉兰达, 2018款, 2.0T, 两驱豪华版, 7座,,,2018, 1.3万公里, 到店服务,严选车,16.4,0,29.17
马自达, 阿特兹, 2017款, 2.5L, 蓝天尊崇版,,,,2017, 4.3万公里, 到店服务,严选车,16.3,0,15.42
马自达CX-5, 2013款, 2.0L, 自动四驱精英型,,,,,2014, 5.2万公里, 到店服务,超值严选车,12.6,0,10.5
大众, 高尔夫, 2017款, 230TSI, 自动舒适百万辆纪念版,,,,2017, 5.8万公里, 到店服务,严选车,10.4,0,10.98
雪佛兰, 科帕奇, 2013款, 2.4L, 两驱城市版, 7座,,,2013, 10.1万公里,,严选车,14.8,0,6.6
荣威350, 2014款, 1.5L, 自动迅悦版,,,,,2014, 5.9万公里, 到店服务,严选车,14.9,0,4.5
大众, 帕萨特, 2011款, 1.8TSI, DSG尊荣版,,,,2012, 4.7万公里,,严选车,15.7,0,9.5
起亚K3, 2013款, 1.6L, 手动GLS,,,,,2014, 6.6万公里,,超值严选车,9.2,0,5
别克, 君威, 2015款, 1.6T, 精英技术型,,,,2017, 1.7万公里, 到店服务,超值严选车,14.3,0,11.2
奥迪Q5, 2015款,40, TFSI, 舒适型,,,,2015, 8.3万公里, 到店服务,超值严选车,5.6,0,23
起亚K3S, 2014款, 1.6L, 自动GL,,,,,2015, 4.3万公里, 到店服务,严选车,17.4,0,6.5
别克, 昂科拉, 2014款, 1.4T, 自动两驱都市精英型,,,,2014, 12.5万公里, 到店服务,严选车,20.2,0,7
奔驰C级, 2013款, C,260, CGI, 时尚型,,,2013, 8.6万公里, 到店服务,严选车,5.1,0,15.5
本田, 思铂睿, 2017款, 2.0L, 经典版,,,,2018, 2.1万公里, 到店服务,严选车,10.4,0,14.9
日产, 逍客, 2016款, 2.0L, CVT精英版,,,,2016, 8.1万公里, 到店服务,严选车,11.7,0,10
大众, 途观L, 2018款, 330TSI, 自动两驱豪华版,,,,2018, 4.1万公里, 到店服务,严选车,23.9,0,21
本田, 雅阁, 2013款, 2.0L, SE,,,,2013, 6.7万公里, 到店服务,严选车,20,0,10
奔驰GLK级, 2014款, GLK,200, 标准型,,,,2014, 7.6万公里, 到店服务,准新车严选车,12,0,20
奇瑞QQ3, 2012款, 时尚版, 1.0L, 手动冠军型,,,,2012, 1.9万公里,,严选车,5.3,0,1.15
DS,6, 2016款, 1.6T, 雅致版THP160,,,,2018, 2.9万公里, 到店服务,超值严选车,18.4,0,12.5
本田, 思域, 2016款, 220TURBO, CVT尊贵版,,,,2016, 6.3万公里, 到店服务,超值严选车,9.2,0,12.5
Jeep, 指南者, 2012款, 2.4L, 四驱豪华版(进口),,,,2013, 9.9万公里, 到店服务,严选车,13.8,0,9.2
奥迪A4L, 2015款,35, TFSI, 自动标准型,,,,2014, 9.4万公里, 到店服务,严选车,10.8,0,16.98
长安CS75, 2016款, 1.8T, 自动精英型, 国V,,,,2017, 4.7万公里, 到店服务,严选车,14.1,0,7.3
别克, 英朗, 2010款, GT, 1.6L, 手动进取版,,,2011, 3.6万公里, 到店服务,超值严选车,33.7,0,3.9
奔驰C级, 2018款, C,200, 轿跑车(进口),,,,2018, 2.2万公里, 到店服务,严选车,6.2,0,36
铃木, 锋驭, 2014款, 1.6L, CVT四驱尊贵型,,,,2016, 2.5万公里, 到店服务,严选车,11.3,0,9.07
奥迪A4L, 2015款,30, TFSI, 自动舒适型,,,,2016, 4.6万公里, 到店服务,严选车,20.3,0,19.8
福特, 福克斯, 2013款, 两厢经典, 1.8L, 手动百万纪念版,,,2014, 12.8万公里,,严选车,6.9,0,3.58
雪佛兰, 创酷, 2014款, 1.4T, 自动两驱舒适型,,,,2015, 7.1万公里, 到店服务,严选车,35.8,0,5.75
马自达CX-4, 2016款, 2.0L, 自动两驱蓝天品位版,,,,,2017, 6.2万公里, 到店服务,准新车严选车,11.9,0,11.4
奔驰GLA级, 2016款, GLA,200, 动感型,,,,2016, 4.5万公里, 到店服务,准新车严选车,11.7,0,18.5
现代, 全新胜达, 2017款, 2.4L, 自动两驱智能型, 5座,,,2017, 2.0万公里, 到店服务,严选车,9.8,0,14.8
宝马3系GT, 2018款, 320i, 时尚型(进口),,,,,2018, 1.9万公里, 到店服务,严选车,22,0,28.8
奔驰GLK级, 2012款, GLK,300, 4MATIC, 时尚型,,,2013, 9.4万公里, 到店服务,严选车,7.9,0,17
长安, 逸动, 2015款, 1.6L, 手动豪华型, 国V,,,2016, 7.1万公里,,严选车,66.2,0,4
雪佛兰, 迈锐宝, 2013款, 2.0L, 自动豪华版,,,,2013, 4.4万公里, 到店服务,超值严选车,19.5,0,8
马自达6, 2012款, 2.0L, 自动时尚型,,,,,2013, 12.0万公里,,超值严选车,12.5,0,6
福特, 福睿斯, 2015款, 1.5L, 自动时尚型,,,,2015, 7.9万公里, 到店服务,严选车,18,0,6.04
别克, 君威, 2012款, 2.0L, 舒适版,,,,2012, 12.9万公里,,严选车,16.5,0,6
大众, 途观L, 2017款, 330TSI, 自动两驱旗舰版,,,,2017, 3.7万公里, 到店服务,准新车严选车,11.3,0,21.58
现代ix35, 2012款, 2.0L, 自动两驱精英版GLS,,,,,2013, 6.8万公里, 到店服务,超值严选车,29.1,0,7.6
奔驰C级, 2013款, C,260, 时尚型, Grand, Edition,,2014, 7.1万公里,,超值严选车,20.4,0,16
大众, 迈腾, 2015款, 1.8TSI, 豪华型,,,,2015, 3.9万公里, 到店服务,准新车严选车,9.5,0,13.5
奥迪Q7, 2018款,45, TFSI, 技术型(进口),,,,2018, 4.1万公里,,严选车,18.4,0,56
起亚K2, 2015款, 三厢, 1.4L, AT, GLS,,,2015, 6.6万公里, 到店服务,严选车,21.7,0,5.42
众泰T600, 2015款, 1.5T, 手动精英型,,,,,2015, 10.6万公里,,严选车,9,0,3.9
奔驰E级, 2017款, E,300, 运动型,,,,2018, 3.1万公里,,准新车严选车,11.7,0,36
福特, 福睿斯, 2015款, 1.5L, 自动时尚型,,,,2015, 3.7万公里, 到店服务,严选车,15.4,0,6.5
福特, 翼虎, 2015款, 1.5L, GTDi, 两驱风尚型,,,2016, 7.3万公里, 到店服务,严选车,10.8,0,10.16
大众, 帕萨特, 2014款, 1.8TSI, DSG御尊版,,,,2013, 9.8万公里, 到店服务,严选车,16.3,0,10.73
本田CR-V, 2015款, 2.4L, 两驱豪华版,,,,,2016, 2.4万公里, 到店服务,严选车,45.4,0,17.5
奔驰C级, 2013款, C,180, 轿跑版(进口),,,,2015, 4.9万公里,,严选车,50.8,0,17.7
奥迪Q5, 2013款,40, TFSI, 舒适型,,,,2013, 9.8万公里,,超值严选车,50.9,0,22.31
雪佛兰, 科帕奇, 2015款, 2.4L, 两驱城市版, 5座,,,2015, 2.5万公里, 到店服务,严选车,23.3,1,9.74
马自达CX-5, 2017款, 2.5L, 自动四驱旗舰型, 国V,,,,2019, 0.6万公里, 到店服务,严选车,22,0,20.71
别克, 昂科拉, 2017款, 18T, 手动两驱都市进取型,,,,2017, 2.3万公里, 到店服务,严选车,8,0,7.61
起亚K2, 2015款, 三厢, 1.4L, MT, TOP,,,2016, 1.8万公里, 到店服务,严选车,13.4,0,5.32
大众, 途锐, 2011款, 3.0TSI, 标配型(进口),,,,2012, 13.8万公里,,严选车,41,0,25
本田, 飞度, 2016款, 1.5L, LXS, CVT舒适天窗版,,,2018, 1.9万公里, 到店服务,严选车,9.6,0,7.8
现代, 名图, 2014款, 1.8L, 自动智能型GLS,,,,2014, 6.5万公里, 到店服务,严选车,30.7,0,8.3
现代, 索纳塔八, 2013款, 2.0L, 自动至尊版,,,,2014, 11.8万公里, 到店服务,准新车严选车,21.4,0,8.6
别克, 君威, 2015款, 2.0L, 精英时尚型,,,,2015, 10.4万公里, 到店服务,超值严选车,8.3,0,9.5
奥迪A4L, 2015款,35, TFSI, 自动舒适型,,,,2015, 3.0万公里,,严选车,17.3,0,18
福特, 翼虎, 2013款, 2.0L, GTDi, 四驱运动型,,,2014, 5.2万公里, 到店服务,准新车严选车,13.3,0,10.32
雪佛兰, 科鲁兹, 2013款, 1.6L, SE, MT,,,2013, 11.6万公里,,严选车,5.8,0,4
奇瑞, 瑞虎3, 2014款, 魔力版, 1.6L, 手动风尚版,,,2014, 7.5万公里,,严选车,33.6,0,4.2
日产, 骐达, 2011款, 1.6L, CVT智能型,,,,2014, 6.8万公里, 到店服务,严选车,27,0,7.27
大众, 迈腾, 2015款, 改款, 2.0TSI, 尊贵型,,,2016, 4.0万公里, 到店服务,严选车,24.9,1,15.28
大众, 帕萨特, 2014款, 1.8TSI, DSG御尊版,,,,2014, 3.2万公里,,准新车严选车,19.5,0,13.55
大众, 宝来, 2016款, 1.6L, 自动时尚型,,,,2017, 2.4万公里, 到店服务,严选车,8.3,0,8.66
大众, 朗逸, 2013款, 改款经典, 1.6L, 自动风尚版,,,2017, 2.5万公里, 到店服务,准新车严选车,15.1,0,8.2
别克, 凯越, 2011款, 1.6LE-MT,,,,,2013, 9.7万公里, 到店服务,严选车,22,0,3.34
Jeep, 自由光, 2017款, 2.4L, 卓越版,,,,2017, 4.5万公里, 到店服务,严选车,8.7,0,14.9
奔驰C级, 2013款, C,260, CGI, 优雅型,,,2012, 13.3万公里, 到店服务,严选车,26.5,0,13.6
别克, 威朗, 2015款, 三厢, 15S, 自动领先型,,,2016, 5.2万公里,,严选车,20.3,0,8.2
路虎, 揽胜极光, 2018款, 240PS, SE, DYNAMIC, 智锐版,,2018, 3.9万公里, 到店服务,超值准新车严选车,11.5,0,28.8
奔驰E级, 2015款, E,260, L, 运动型,,,2015, 6.0万公里, 到店服务,严选车,10.7,0,27
福特, 蒙迪欧, 2013款, 2.0L, GTDi200时尚型,,,,2015, 4.6万公里,,严选车,8.9,0,11
宝骏560, 2015款, 1.8L, 手动精英型,,,,,2016, 3.7万公里,,严选车,27.5,0,5.21
别克, 昂科拉, 2014款, 1.4T, 自动两驱都市精英型,,,,2014, 8.6万公里, 到店服务,准新车严选车,43.9,0,6.98
大众, 途观, 2013款, 2.0TSI, 自动四驱豪华版,,,,2014, 11.8万公里,,严选车,10.1,0,12.18
马自达CX-5, 2013款, 2.0L, 自动两驱舒适型,,,,,2015, 6.2万公里, 到店服务,严选车,51,0,11
别克, 君越, 2013款, 2.4L, SIDI精英舒适型,,,,2016, 13.0万公里, 到店服务,急售,12.4,0,11
别克, 君威, 2015款, 1.6T, 领先技术型,,,,2017, 4.3万公里, 到店服务,准新车严选车,6.4,0,11.5
哈弗H6, 2016款, 升级版, 1.5T, 手动两驱超值型,,,,2016, 2.4万公里, 店内直卖,,15.1,0,4.6
别克, 威朗, 2018款, 三厢, 15S, 自动领先型,,,2018, 2.6万公里, 店内直卖,急售,12.4,0,9.18
别克, 威朗, 2019款, 三厢, 15S, 自动进取型,,,2019, 0.4万公里, 店内直卖,超值,13.9,0,8.93
哈弗H2, 2016款, 红标, 1.5T, 自动两驱豪华型,,,,2016, 5.3万公里, 店内直卖,,21,0,5.9
丰田, YARiS, L, 致炫, 2014款, 1.5G, 手动炫动版,,2014, 5.2万公里, 店内直卖,,11.8,0,3.86
丰田, 凯美瑞, 2013款, 200G, 经典豪华版,,,,2015, 8.4万公里, 店内直卖,,75.8,0,10.68
DS, 5LS, 2016款, 1.6T, 舒适版THP160,,,,2016, 4.2万公里, 店内直卖,急售,24,0,7.85
宝马X1, 2016款, sDrive18Li, 豪华型,,,,,2016, 4.9万公里, 店内直卖,,12.1,0,18.64
本田, 飞度, 2014款, 1.5L, LX, CVT舒适型,,,2015, 7.3万公里, 店内直卖,,22.8,0,5.7
雪佛兰, 科鲁兹, 2016款, 1.5L, 自动时尚天窗版,,,,2016, 2.0万公里, 店内直卖,超值急售,16.6,0,6.6
大众POLO, 2014款, 1.6L, 自动舒适版,,,,,2015, 4.0万公里, 店内直卖,准新车,11.7,0,5.96
北京BJ20, 2016款, 1.5T, CVT豪华型,,,,,2016, 1.9万公里, 店内直卖,急售准新车,25.3,0,6.79
哈弗H6, 2016款, 升级版, 1.5T, 手动两驱都市型,,,,2016, 3.9万公里, 店内直卖,超值,14.1,0,4.86
起亚, 福瑞迪, 2018款, 1.6L, 自动智享互联版Value-Connect,,,,2018, 0.9万公里, 店内直卖,超值急售,6.5,0,7
日产, 逍客, 2016款, 2.0L, CVT精英版,,,,2016, 1.4万公里, 店内直卖,,15,0,9.7
哈弗H1, 2016款, 蓝标, 1.5L, AMT豪华型,,,,2016, 2.2万公里, 店内直卖,超值,15.6,0,4.28
大众, 速腾, 2015款, 1.6L, 自动舒适型,,,,2016, 1.5万公里, 店内直卖,,11.4,0,8.75
斯柯达Yeti, 2016款, 1.4TSI, DSG前行版,,,,,2015, 3.8万公里, 店内直卖,准新车,14.5,0,7.65
福特, 福克斯, 2017款, 两厢, 1.6L, 手动舒适型智行版,,,2016, 7.6万公里, 店内直卖,,10,0,5.19
大众, 捷达, 2015款, 质惠版, 1.6L, 手动舒适型,,,2016, 5.3万公里, 店内直卖,急售,8.7,0,4.75
福特, 福克斯, 2015款, 两厢, 1.6L, 自动风尚型,,,2015, 6.3万公里, 到店服务,超值急售,30.4,0,6.65
别克, 英朗, 2015款, 15N, 自动豪华型,,,,2015, 9.6万公里, 到店服务,急售,11.6,0,5.87
大众, 速腾, 2014款, 改款, 1.6L, 自动领先型,,,2015, 6.8万公里, 到店服务,急售,13.5,0,7.78
江淮, 瑞风, 2012款, 2.0L穿梭时光版HFC4GA3,,,,,2014, 4.4万公里, 到店服务,急售,9.3,0,3.35
三菱, 翼神, 2012款, 致炫版, 2.0L, CVT旗舰型,,,2012, 9.2万公里, 到店服务,,14.6,1,5.74
本田, 思域, 2012款, 1.8L, 手动舒适版,,,,2012, 11.8万公里, 到店服务,急售,6.2,0,4.6
五菱宏光, 2015款, 1.5L, S基本型, 国IV,,,,2016, 2.8万公里, 到店服务,超值急售,34.3,0,3.08
大众, 凌渡, 2017款, 230TSI, DSG风尚版,,,,2016, 4.8万公里, 到店服务,,20.6,0,10.08
哈弗H8, 2015款, 2.0T, 两驱精英型,,,,,2016, 10.2万公里, 到店服务,急售,16.2,1,8.34
比亚迪, 秦, 2017款, 1.5T, 尊贵型,,,,2017, 0.6万公里, 到店服务,,52,0,8.76
五菱荣光, 2017款, 1.5L加长基本型,,,,,,2017, 0.7万公里, 到店服务,准新车,11.7,0,3.67
奇瑞, 瑞虎3, 2015款, 1.6L, CVT尊尚运动版,,,,2015, 5.0万公里, 到店服务,,16,0,3.92
大众, 捷达, 2017款, 1.5L, 自动舒适型,,,,2017, 2.8万公里, 到店服务,,20,0,6.61
DS,5, 2013款, 1.6T, 雅致版THP160,,,,2014, 8.6万公里, 到店服务,急售,13.8,0,8.07
现代, 途胜, 2013款, 2.0L, 自动两驱舒适型,,,,2013, 3.7万公里, 到店服务,,18.2,0,6
福特, 福克斯, 2018款, 两厢经典, 1.6L, 自动舒适型智行版,,,2018, 0.8万公里, 到店服务,超值急售,46.5,0,7.61
五菱荣光V, 2015款, 1.5L基本型,,,,,,2015, 2.4万公里, 到店服务,,19.2,0,2.81
雪铁龙C4L, 2014款, 1.6THP, 智驱版, 自动劲智型,,,,2014, 5.6万公里, 到店服务,,16.9,0,6.2
斯柯达, 晶锐, 2017款, 1.4L, 自动车享版,,,,2017, 2.8万公里, 到店服务,,12.9,0,5.1
别克, 英朗, 2017款, 15N, 自动精英型,,,,2017, 3.0万公里, 到店服务,急售,11.9,0,6.75
雪佛兰, 科沃兹, 2018款,320, 自动欣悦版,,,,2017, 1.6万公里, 到店服务,急售,11.5,0,6.73
比亚迪S7, 2015款, 2.0T, 升级版, 自动尊贵型,,,,2015, 5.0万公里, 到店服务,,28.9,0,5.36
大众, 帕萨特, 2014款, 3.0L, V6, DSG旗舰版,,,2013, 5.5万公里, 到店服务,,13.9,0,11.58
奇瑞E3, 2015款, 1.5L, 手动风尚型,,,,,2015, 5.7万公里, 到店服务,超值急售,97.5,0,2.54
大众POLO, 2016款, 1.6L, 自动舒适型,,,,,2017, 3.1万公里, 到店服务,准新车,21.7,0,6.86
大众, 途安, 2015款, 1.4T, 自动豪华版5座,,,,2015, 4.9万公里, 到店服务,,8.5,0,9.07
五菱宏光, 2015款, 1.5L, S1舒适国V,,,,,2015, 1.8万公里, 到店服务,,28.4,0,4.01
奥迪A4L, 2011款,2, TFSI, 舒适型,,,,2011, 8.7万公里, 到店服务,,44.3,0,10.89
比亚迪, 宋MAX, 2017款, 1.5T, 自动智联精英型, 7座,,,2018, 1.5万公里, 到店服务,,20.5,0,7.86
大众, 宝来, 2018款, 1.5L, 手动时尚型,,,,2018, 1.5万公里, 到店服务,急售,47.3,0,7.37
比亚迪, 宋, 2016款, 盖世版, 1.5TI, 手动精英型,,,2016, 1.9万公里, 到店服务,,10.2,0,5.09
本田, 雅阁, 2013款, 2.0L, SE,,,,2013, 4.4万公里, 到店服务,,11.9,0,9.45
江淮, 瑞风S2, 2017款, 1.5L, CVT豪华智能型,,,,2017, 0.9万公里, 到店服务,,30.8,0,4.3
Jeep, 大切诺基, 2015款, 3.0L, 精英导航版(进口),,,,2015, 4.9万公里, 到店服务,,15.3,0,25.5
雪佛兰, 科帕奇, 2015款, 2.4L, 两驱城市版, 5座,,,2016, 3.4万公里, 到店服务,,12.4,0,9.58
哈弗H2, 2014款, 1.5T, 手动两驱精英版,,,,,2014, 7.5万公里, 到店服务,准新车,8.9,1,4.53
菲亚特, 菲翔, 2015款, 1.4T, 自动悦享版,,,,2016, 1.9万公里, 到店服务,急售,17.6,0,5.25
标致3008, 2016款, 1.6THP, 自动标准版,,,,,2017, 1.1万公里, 到店服务,,12.9,0,9.34
斯柯达, 明锐, 2017款, 1.6L, 自动智行版,,,,2016, 3.0万公里, 到店服务,超值急售,10.7,0,8.06
长安CS75, 2017款, 尚酷版, 1.5T, 自动锋悦型,,,,2018, 2.2万公里, 到店服务,,33.1,0,7.29
大众, 迈腾, 2015款, 改款, 2.0TSI, 尊贵型,,,2015, 7.7万公里, 到店服务,,11.1,0,12.54
现代, 全新胜达, 2013款, 改款, 2.0T, 自动四驱顶级型,,,2015, 6.8万公里, 到店服务,急售,12.7,1,12.79
北汽绅宝, 绅宝D70, 2013款, 1.8T, 政务版,,,,2014, 8.5万公里, 到店服务,,17.1,0,3.92
别克, 凯越, 2013款, 1.5L, 自动经典型,,,,2013, 6.5万公里, 到店服务,急售,28.6,1,3.69
宝骏730, 2017款, 1.5T, 手动风尚型, 7座,,,,2018, 1.4万公里, 到店服务,,15.9,0,6.49
北京BJ40, 2016款, 40L, 2.3T, 自动四驱尊享版,,,,2017, 3.3万公里, 到店服务,急售,8.1,0,10.75
雪佛兰, 探界者, 2018款, 535T, 自动驭界版,,,,2017, 4.6万公里, 到店服务,,12.9,0,12.45
长安CS35, 2014款, 1.6L, 手动豪华型, 国IV,,,,2014, 2.6万公里, 到店服务,,5,0,3.98
福特, 福睿斯, 2017款, 改款, 1.5L, 自动舒适型,,,2018, 0.7万公里, 到店服务,,9,0,7.03
斯柯达, 明锐, 2017款, 1.6L, 自动创行版,,,,2016, 4.5万公里, 到店服务,,64.9,0,7.47
铃木, 天语, SX4, 2012款, 1.6L, 自动锐骑型,,,2013, 5.0万公里, 到店服务,准新车,15.2,0,4.27
Jeep, 自由侠, 2017款, 180T, 自动高能版,,,,2017, 1.0万公里, 到店服务,急售,13.4,0,9.32
奥迪A4, 2014款,40, TFSI, allroad, quattro, plus版(进口),,2015, 2.0万公里, 到店服务,,44.5,0,22.5
本田, 飞度, 2011款, 1.3L, 手动舒适版,,,,2012, 9.4万公里, 到店服务,急售,31.8,1,3.27
奔驰E级, 2015款, 改款, E,260, L, 运动型,,2016, 3.9万公里, 到店服务,急售,8.7,0,28.64
比亚迪, 元, 2016款, 1.5L, 手动舒适型,,,,2016, 4.1万公里, 到店服务,急售,16.3,1,3.38
奥迪A6L, 2014款,30, FSI, 舒适型,,,,2014, 8.5万公里, 到店服务,急售,21.4,0,20
标致3008, 2013款, 1.6THP, 自动至尚版,,,,,2013, 4.2万公里, 到店服务,,47.5,0,7.4
福特, 福克斯, 2012款, 三厢, 1.6L, 自动风尚型,,,2013, 5.5万公里, 到店服务,,19.7,1,4.93
本田, 雅阁, 2012款, 2.0L, SE,,,,2012, 8.6万公里, 到店服务,急售,72,0,8.56
传祺GA3S视界, 2016款, 200T, 手动精英版,,,,,2017, 5.5万公里, 到店服务,,28.2,0,4
哈弗H6, 2015款, 改款, 运动版, 1.5T, 手动两驱精英型,,,2015, 7.5万公里, 到店服务,,11.8,0,5.67
奔驰GLK级, 2014款, GLK,200, 标准型,,,,2015, 5.1万公里, 到店服务,,50.8,0,22.05
长安CS75, 2017款, 尚酷版, 1.5T, 手动锋享型,,,,2017, 2.4万公里, 到店服务,准新车,37.2,0,6.33
宝马3系, 2015款, 316i, 进取型,,,,,2015, 3.7万公里, 到店服务,,8,0,16.44
日产, 轩逸, 2016款, 1.6XL, , CVT尊享版,,,2016, 6.3万公里, 到店服务,,9.5,1,7.95
别克, 威朗, 2017款, 三厢, 15S, 自动进取型,,,2017, 2.2万公里, 到店服务,急售,9.7,1,8.28
日产, 奇骏, 2017款, 2.0L, CVT舒适版, 2WD,,,2018, 2.6万公里, 到店服务,急售,28.2,0,15.45
吉利, 帝豪, 2016款, 两厢RS, 1.5L, 手动向上版,,,2016, 5.0万公里, 到店服务,急售,34.6,0,3.6
现代, 名图, 2016款, 1.6T, 自动智能型GLS,,,,2016, 1.9万公里, 到店服务,急售,11.9,0,9.19
大众, 朗逸, 2015款, 1.6L, 自动舒适版,,,,2016, 6.3万公里, 到店服务,急售,14,1,7.64
福特, 福睿斯, 2017款, 幸福版, 1.5L, 自动时尚型,,,2018, 0.3万公里, 到店服务,急售,12.6,0,7.86
宝骏310, 2017款, 1.5L, 手动豪华型,,,,,2017, 1.8万公里, 到店服务,急售,30.4,0,3.64
英菲尼迪Q50L, 2016款, 2.0T, 悦享版,,,,,2016, 5.9万公里, 到店服务,急售,14.4,0,17.46
奥迪A3, 2014款, Sportback,35, TFSI, 自动舒适型,,,2015, 3.4万公里, 到店服务,急售,13.8,0,12.09
丰田, 锐志, 2013款, 2.5V, 菁锐版,,,,2016, 6.2万公里, 到店服务,急售,33.2,0,16.6
吉利, 远景SUV, 2016款, 1.3T, CVT豪华型,,,,2016, 7.9万公里, 到店服务,,34,1,5.45
本田, 雅阁, 2016款, 2.0L, 舒适版,,,,2018, 1.8万公里, 到店服务,,9,0,15.18
别克, 英朗, 2017款, 15N, 自动精英型,,,,2017, 4.1万公里, 到店服务,准新车,20.1,1,7.01
比亚迪, 速锐, 2015款, 改款, 1.5L, 手动豪华型,,,2016, 9.5万公里, 到店服务,急售,18.4,0,3.24
吉利, 经典帝豪, 2013款, 两厢, 1.5L, 手动精英型,,,2014, 6.2万公里, 到店服务,,50.8,1,2.65
丰田, 卡罗拉, 2018款, 1.2T, S-CVT, GL智享版,,,2018, 3.7万公里, 到店服务,急售,15.9,1,9.37
福特, 福克斯, 2018款, 三厢经典, 1.6L, 自动风尚型智行版,,,2018, 2.1万公里, 到店服务,严选车,8.7,0,7.83
福特, 蒙迪欧, 2013款, 2.0L, GTDi200时尚型,,,,2015, 4.8万公里, 到店服务,严选车,8.7,0,10.58
福特, 蒙迪欧, 2017款, EcoBoost,180, 时尚型,,,2017, 3.2万公里, 到店服务,急售,10,1,12.88
吉利, 帝豪, 2015款, 三厢, 1.5L, 手动向上版,,,2015, 5.0万公里, 到店服务,急售,11.7,0,3.4
奥迪A6L, 2016款,30, FSI, 舒适型,,,,2016, 8.4万公里, 到店服务,严选车,20,1,26.31
丰田, RAV4, 2012款, 炫装版, 2.4L, 自动四驱豪华,,,2012, 3.3万公里, 到店服务,,13.9,0,11.72
东风风神AX7, 2016款, 2.0L, 自动智逸型,,,,,2017, 4.1万公里, 到店服务,,35.6,1,7.01
雪佛兰, 科帕奇, 2015款, 2.4L, 两驱城市版, 7座,,,2016, 2.5万公里, 到店服务,准新车,19,0,10.45
宝骏560, 2017款, 律动版, 1.5T, 手动尊享型,,,,2019, 100公里, 到店服务,严选车,21,0,7.26
众泰T600, Coupe, 2017款, 1.5T, 自动豪华型,,,,2017, 3.0万公里, 到店服务,急售,21.6,0,5.67
日产, 劲客, 2017款, 1.5L, CVT智行版,,,,2017, 1.2万公里, 到店服务,急售准新车,14.5,1,9.38
北汽绅宝, 绅宝D50, 2015款, 1.5L, 手动舒适超值导航版,,,,2016, 5.3万公里, 到店服务,,25.3,0,3.07
大众, 凌渡, 2015款, 280TSI, DSG舒适版,,,,2016, 4.7万公里, 到店服务,严选车,23.9,1,11.54
本田, 冠道, 2017款, 240TURBO, 两驱豪华版,,,,2017, 3.3万公里, 到店服务,,16.8,0,19.05
别克, 威朗, 2017款, 三厢, 15S, 自动领先型,,,2017, 4.8万公里, 到店服务,急售,41,1,8.43
路虎, 发现神行, 2018款, 240PS, SE版,,,,2018, 0.8万公里, 到店服务,,16.3,0,26
日产, 阳光, 2011款, 1.5XL, 手动豪华版,,,,2012, 10.8万公里, 到店服务,严选车,18,0,2.91
奥迪Q5, 2017款,40, TFSI, 舒适型,,,,2017, 2.2万公里, 到店服务,急售,11.1,0,28.87
荣威i6, 2018款, 20T, 自动旗舰版,,,,,2018, 4.4万公里, 到店服务,急售,14,0,7.25
长安商用, 欧尚, 2018款, 1.5L, 手动精英型,,,,2018, 2.4万公里, 到店服务,,14.7,0,4.15
马自达, 昂克赛拉, 2014款, 三厢, 1.5L, 自动豪华型,,,2015, 5.4万公里, 到店服务,准新车,14.8,0,8
标致308, 2012款, 1.6L, 自动优尚型,,,,,2013, 2.9万公里, 到店服务,准新车严选车,14.5,0,4
大众, 宝来, 2014款, 1.6L, 自动舒适型,,,,2014, 4.2万公里, 到店服务,急售,19.5,0,6.25
丰田, 凯美瑞, 2012款, 200G, 经典豪华版,,,,2013, 7.6万公里, 到店服务,,19.4,0,9
铃木, 天语, SX4, 2011款, 两厢, 1.6L, 手动运动型,,2011, 6.4万公里,,急售,16,0,2.5
捷豹XF, 2009款, XF, 3.0L, V6豪华版,,,,2010, 9.0万公里, 到店服务,,14.6,0,13.8
标致3008, 2015款, 1.6THP, 自动至尚版,,,,,2015, 4.7万公里, 到店服务,急售,16.3,0,8.34
大众POLO, 2013款, 1.6L, 自动舒适版,,,,,2014, 5.6万公里, 到店服务,,25.6,0,5.7
丰田, 锐志, 2013款, 2.5S, 菁锐版,,,,2014, 5.8万公里, 到店服务,严选车,12.7,0,12.6
别克, 英朗, 2013款, GT, 1.6L, 自动时尚版,,,2014, 7.1万公里,,急售,9.3,0,5
哈弗H2, 2018款, 蓝标, 1.5T, 双离合两驱豪华型,,,,2018, 1.0万公里, 到店服务,,14,0,8.23
奥迪A3, 2019款, Limousine,35, TFSI, 运动型, 国V,,2019, 400公里, 到店服务,准新车,18.4,0,17.19
荣威550, 2014款, 550S, 1.8L, 自动智选版,,,,2014, 6.0万公里, 到店服务,急售,13,0,4.2
长安商用, 欧尚, 2016款, 1.5L, 手动精英型7座,,,,2016, 1.9万公里, 到店服务,急售,22.8,0,3.49
斯柯达, 明锐, 2014款, 1.6L, 自动逸杰版,,,,2014, 6.8万公里, 到店服务,,12.8,0,5.53
